bn:00000004n	0
bn:00000004n	zéro
bn:00000005n	1
bn:00000005n	as
bn:00000005n	celui-ci
bn:00000005n	personne
bn:00000005n	un
bn:00000005n	unité
bn:00000008n	10
bn:00000008n	dix
bn:00000009n	100
bn:00000009n	centaine
bn:00000010n	mille
bn:00000010n	millier
bn:00000012n	100000
bn:00000013n	million
bn:00000016n	milliard
bn:00000017n	11
bn:00000020n	12
bn:00000020n	douzaine
bn:00000020n	douze
bn:00000023n	Treize
bn:00000024n	14
bn:00000024n	Quatorze
bn:00000027n	15
bn:00000027n	quinze
bn:00000032n	16
bn:00000034n	17
bn:00000052n	19
bn:00000052n	dix-neuf
bn:00000057n	cinquante
bn:00000075n	2
bn:00000075n	deux
bn:00000075n	Deux
bn:00000079n	20
bn:00000079n	vingt
bn:00000081n	21
bn:00000082n	22
bn:00000082n	vingt-deux
bn:00000084n	23
bn:00000084n	vingt-trois
bn:00000085n	24
bn:00000086n	fois
bn:00000086n	jour
bn:00000086n	journée
bn:00000089n	25
bn:00000090n	26
bn:00000091n	27
bn:00000092n	vingt-huit
bn:00000093n	29
bn:00000100n	3
bn:00000100n	trio
bn:00000100n	trois
bn:00000100n	Trois
bn:00000104n	30
bn:00000104n	trente
bn:00000105n	demi-heure
bn:00000111n	4
bn:00000111n	quatre
bn:00000111n	Quatre
bn:00000113n	40
bn:00000119n	5
bn:00000119n	cinq
bn:00000123n	50
bn:00000125n	6
bn:00000125n	six
bn:00000127n	heure
bn:00000129n	7
bn:00000129n	sept
bn:00000130n	70
bn:00000133n	8
bn:00000138n	9
bn:00000138n	neuf
bn:00000145n	amp
bn:00000145n	Amp
bn:00000145n	ampère
bn:00000149n	bombe
bn:00000207n	abandon
bn:00000212n	abandon
bn:00000213n	abandon
bn:00000213n	défection
bn:00000216n	abaissement
bn:00000216n	abjection
bn:00000234n	abbaye
bn:00000237n	abbé
bn:00000249n	abdomen
bn:00000249n	estomac
bn:00000249n	ventre
bn:00000266n	ravisseur
bn:00000266n	Ravisseur
bn:00000288n	aberration
bn:00000291n	distorsion
bn:00000300n	conformité
bn:00000301n	domicile
bn:00000301n	maison
bn:00000317n	capacité
bn:00000317n	compétence
bn:00000318n	capacité
bn:00000318n	compétence
bn:00000318n	faculté
bn:00000318n	force
bn:00000318n	pouvoir
bn:00000318n	talent
bn:00000329n	sevrage
bn:00000330n	ablation
bn:00000347n	anomalie
bn:00000350n	irrégularité
bn:00000355n	résidence
bn:00000356n	demeure
bn:00000356n	domicile
bn:00000356n	endroit
bn:00000356n	foyer
bn:00000356n	habitation
bn:00000356n	maison
bn:00000356n	résidence
bn:00000358n	abolition
bn:00000360n	abolitionniste
bn:00000367n	aborigène
bn:00000367n	indigène
bn:00000367n	natif
bn:00000372n	avortement
bn:00000388n	Lincoln
bn:00000392n	éraflure
